step , number of hawks, number of doves, hawks percentage, doves percentage
0, 128, 74, 63, 36
1, 138, 64, 68, 31
2, 139, 63, 68, 31
3, 139, 63, 68, 31
4, 137, 65, 67, 32
5, 136, 66, 67, 32
6, 139, 63, 68, 31
7, 132, 70, 65, 34
8, 137, 65, 67, 32
9, 135, 67, 66, 33
10, 133, 69, 65, 34
11, 127, 75, 62, 37
12, 136, 66, 67, 32
13, 133, 69, 65, 34
14, 134, 68, 66, 33
15, 133, 69, 65, 34
16, 133, 69, 65, 34
17, 136, 66, 67, 32
18, 129, 73, 63, 36
19, 132, 70, 65, 34
20, 131, 71, 64, 35
21, 126, 76, 62, 37
22, 135, 67, 66, 33
23, 126, 76, 62, 37
24, 133, 69, 65, 34
25, 123, 79, 60, 39
26, 133, 69, 65, 34
27, 130, 72, 64, 35
28, 126, 76, 62, 37
29, 129, 73, 63, 36
30, 129, 73, 63, 36
31, 126, 76, 62, 37
32, 131, 71, 64, 35
33, 127, 75, 62, 37
34, 131, 71, 64, 35
35, 124, 78, 61, 38
36, 127, 75, 62, 37
37, 126, 76, 62, 37
38, 123, 79, 60, 39
39, 130, 72, 64, 35
40, 123, 79, 60, 39
41, 129, 73, 63, 36
42, 125, 77, 61, 38
43, 127, 75, 62, 37
44, 124, 78, 61, 38
45, 128, 74, 63, 36
46, 124, 78, 61, 38
47, 127, 75, 62, 37
48, 123, 79, 60, 39
49, 123, 79, 60, 39
50, 123, 79, 60, 39
