step , number of hawks, number of doves, hawks percentage, doves percentage
0, 8, 12, 40, 60
1, 9, 11, 45, 55
2, 8, 12, 40, 60
3, 10, 10, 50, 50
4, 10, 10, 50, 50
5, 11, 9, 55, 45
6, 7, 13, 35, 65
7, 11, 9, 55, 45
8, 8, 12, 40, 60
9, 8, 12, 40, 60
10, 12, 8, 60, 40
11, 6, 14, 30, 70
12, 6, 14, 30, 70
13, 9, 11, 45, 55
14, 12, 8, 60, 40
15, 4, 16, 20, 80
16, 15, 5, 75, 25
17, 5, 15, 25, 75
18, 9, 11, 45, 55
19, 12, 8, 60, 40
20, 11, 9, 55, 45
21, 12, 8, 60, 40
22, 7, 13, 35, 65
23, 7, 13, 35, 65
24, 8, 12, 40, 60
25, 7, 13, 35, 65
26, 8, 12, 40, 60
27, 10, 10, 50, 50
28, 10, 10, 50, 50
29, 10, 10, 50, 50
30, 13, 7, 65, 35
31, 7, 13, 35, 65
32, 10, 10, 50, 50
33, 8, 12, 40, 60
34, 7, 13, 35, 65
35, 14, 6, 70, 30
36, 9, 11, 45, 55
37, 7, 13, 35, 65
38, 7, 13, 35, 65
39, 8, 12, 40, 60
40, 11, 9, 55, 45
41, 7, 13, 35, 65
42, 10, 10, 50, 50
43, 11, 9, 55, 45
44, 6, 14, 30, 70
45, 6, 14, 30, 70
46, 10, 10, 50, 50
47, 9, 11, 45, 55
48, 11, 9, 55, 45
49, 9, 11, 45, 55
50, 9, 11, 45, 55
51, 9, 11, 45, 55
52, 8, 12, 40, 60
53, 7, 13, 35, 65
54, 12, 8, 60, 40
55, 6, 14, 30, 70
56, 12, 8, 60, 40
57, 10, 10, 50, 50
58, 11, 9, 55, 45
59, 6, 14, 30, 70
60, 8, 12, 40, 60
61, 10, 10, 50, 50
62, 8, 12, 40, 60
63, 11, 9, 55, 45
64, 8, 12, 40, 60
65, 10, 10, 50, 50
66, 7, 13, 35, 65
67, 8, 12, 40, 60
68, 11, 9, 55, 45
69, 9, 11, 45, 55
70, 7, 13, 35, 65
71, 7, 13, 35, 65
72, 6, 14, 30, 70
73, 14, 6, 70, 30
74, 11, 9, 55, 45
75, 9, 11, 45, 55
76, 10, 10, 50, 50
77, 8, 12, 40, 60
78, 8, 12, 40, 60
79, 10, 10, 50, 50
80, 7, 13, 35, 65
81, 8, 12, 40, 60
82, 9, 11, 45, 55
83, 9, 11, 45, 55
84, 12, 8, 60, 40
85, 10, 10, 50, 50
86, 8, 12, 40, 60
87, 10, 10, 50, 50
88, 11, 9, 55, 45
89, 6, 14, 30, 70
90, 10, 10, 50, 50
91, 10, 10, 50, 50
92, 13, 7, 65, 35
93, 6, 14, 30, 70
94, 6, 14, 30, 70
95, 7, 13, 35, 65
96, 8, 12, 40, 60
97, 12, 8, 60, 40
98, 12, 8, 60, 40
99, 6, 14, 30, 70
