step , number of hawks, number of doves
0, 75, 25
1, 77, 23
2, 78, 22
3, 78, 22
4, 78, 22
5, 75, 25
6, 75, 25
7, 76, 24
8, 77, 23
9, 76, 24
10, 76, 24
11, 77, 23
12, 76, 24
13, 74, 26
14, 74, 26
15, 74, 26
16, 75, 25
17, 75, 25
18, 75, 25
19, 76, 24
20, 76, 24
21, 75, 25
22, 76, 24
23, 75, 25
24, 74, 26
25, 75, 25
26, 74, 26
27, 75, 25
28, 74, 26
29, 73, 27
30, 73, 27
31, 74, 26
32, 74, 26
33, 73, 27
34, 73, 27
35, 73, 27
36, 70, 30
37, 72, 28
38, 71, 29
39, 71, 29
40, 71, 29
41, 72, 28
42, 72, 28
43, 72, 28
44, 72, 28
45, 69, 31
46, 72, 28
47, 71, 29
48, 71, 29
49, 70, 30
