step , number of hawks, number of doves
0, 50, 50
1, 72, 28
2, 76, 24
3, 51, 49
4, 50, 50
5, 52, 48
6, 50, 50
7, 46, 54
8, 44, 56
9, 55, 45
10, 46, 54
11, 49, 51
12, 47, 53
13, 51, 49
14, 49, 51
15, 51, 49
16, 52, 48
17, 48, 52
18, 50, 50
19, 53, 47
20, 53, 47
21, 51, 49
22, 52, 48
23, 49, 51
24, 49, 51
25, 48, 52
26, 49, 51
27, 50, 50
28, 49, 51
29, 48, 52
30, 49, 51
31, 44, 56
32, 51, 49
33, 50, 50
34, 49, 51
35, 45, 55
36, 48, 52
37, 38, 62
38, 49, 51
39, 44, 56
40, 49, 51
41, 50, 50
42, 51, 49
43, 50, 50
44, 51, 49
45, 50, 50
46, 47, 53
47, 46, 54
48, 49, 51
49, 40, 60
