step , number of hawks, number of doves, hawks percentage, doves percentage
0, 108, 94, 53, 46
1, 157, 45, 77, 22
2, 156, 46, 77, 22
3, 126, 76, 62, 37
4, 117, 85, 57, 42
5, 102, 100, 50, 49
6, 99, 103, 49, 50
7, 108, 94, 53, 46
8, 92, 110, 45, 54
9, 96, 106, 47, 52
10, 112, 90, 55, 44
11, 99, 103, 49, 50
12, 99, 103, 49, 50
13, 102, 100, 50, 49
14, 94, 108, 46, 53
15, 90, 112, 44, 55
16, 86, 116, 42, 57
17, 92, 110, 45, 54
18, 92, 110, 45, 54
19, 110, 92, 54, 45
20, 97, 105, 48, 51
21, 120, 82, 59, 40
22, 93, 109, 46, 53
23, 108, 94, 53, 46
24, 106, 96, 52, 47
25, 106, 96, 52, 47
26, 96, 106, 47, 52
27, 97, 105, 48, 51
28, 94, 108, 46, 53
29, 103, 99, 50, 49
30, 92, 110, 45, 54
31, 89, 113, 44, 55
32, 109, 93, 53, 46
33, 124, 78, 61, 38
34, 91, 111, 45, 54
35, 90, 112, 44, 55
36, 94, 108, 46, 53
37, 101, 101, 50, 50
38, 97, 105, 48, 51
39, 96, 106, 47, 52
40, 89, 113, 44, 55
41, 104, 98, 51, 48
42, 95, 107, 47, 52
43, 93, 109, 46, 53
44, 94, 108, 46, 53
45, 102, 100, 50, 49
46, 98, 104, 48, 51
47, 98, 104, 48, 51
48, 100, 102, 49, 50
49, 107, 95, 52, 47
50, 108, 94, 53, 46
